22-07-20 19:14:03.074 : model_name:phaseformer_S_d4, image sigma:0.00%, model sigma:0.00%
22-07-20 19:14:39.032 : ---1--> kodim01.png -- PSNR: 41.82dB
22-07-20 19:15:15.023 : ---2--> kodim02.png -- PSNR: 41.70dB
22-07-20 19:15:50.995 : ---3--> kodim03.png -- PSNR: 44.16dB
22-07-20 19:16:26.945 : ---4--> kodim04.png -- PSNR: 43.08dB
22-07-20 19:17:02.836 : ---5--> kodim05.png -- PSNR: 39.59dB
22-07-20 19:17:38.758 : ---6--> kodim06.png -- PSNR: 41.33dB
22-07-20 19:18:14.717 : ---7--> kodim07.png -- PSNR: 44.20dB
22-07-20 19:18:50.596 : ---8--> kodim08.png -- PSNR: 36.09dB
22-07-20 19:19:26.540 : ---9--> kodim09.png -- PSNR: 43.86dB
22-07-20 19:20:02.483 : --10--> kodim10.png -- PSNR: 43.54dB
22-07-20 19:20:38.382 : --11--> kodim11.png -- PSNR: 41.53dB
22-07-20 19:21:14.317 : --12--> kodim12.png -- PSNR: 44.87dB
22-07-20 19:21:50.270 : --13--> kodim13.png -- PSNR: 35.60dB
22-07-20 19:22:26.278 : --14--> kodim14.png -- PSNR: 39.39dB
22-07-20 19:23:02.240 : --15--> kodim15.png -- PSNR: 42.39dB
22-07-20 19:23:38.249 : --16--> kodim16.png -- PSNR: 44.72dB
22-07-20 19:24:14.729 : --17--> kodim17.png -- PSNR: 41.77dB
22-07-20 19:24:51.079 : --18--> kodim18.png -- PSNR: 38.22dB
22-07-20 19:25:27.047 : --19--> kodim19.png -- PSNR: 39.67dB
22-07-20 19:26:03.065 : --20--> kodim20.png -- PSNR: 42.45dB
22-07-20 19:26:39.294 : --21--> kodim21.png -- PSNR: 40.74dB
22-07-20 19:27:15.283 : --22--> kodim22.png -- PSNR: 39.44dB
22-07-20 19:27:51.263 : --23--> kodim23.png -- PSNR: 44.20dB
22-07-20 19:28:27.179 : --24--> kodim24.png -- PSNR: 35.78dB
22-07-20 19:28:27.247 : ------> Average PSNR(RGB) of (Kodak) is : 41.26 dB
