22-07-24 13:32:43.040 : 0000.png: PSNR_L: 14.37 dB; PSNR_E: 37.41 dB; SSIM_L: 0.05; SSIM_E: 0.96
22-07-24 13:32:43.875 : 0051.png: PSNR_L: 14.99 dB; PSNR_E: 26.24 dB; SSIM_L: 0.25; SSIM_E: 0.75
22-07-24 13:32:44.710 : 0045.png: PSNR_L: 15.13 dB; PSNR_E: 29.37 dB; SSIM_L: 0.20; SSIM_E: 0.87
22-07-24 13:32:45.546 : 0019.png: PSNR_L: 14.56 dB; PSNR_E: 28.93 dB; SSIM_L: 0.14; SSIM_E: 0.80
22-07-24 13:32:46.379 : 0061.png: PSNR_L: 14.52 dB; PSNR_E: 30.38 dB; SSIM_L: 0.09; SSIM_E: 0.78
22-07-24 13:32:47.220 : 0004.png: PSNR_L: 15.01 dB; PSNR_E: 27.33 dB; SSIM_L: 0.20; SSIM_E: 0.77
22-07-24 13:32:48.058 : 0025.png: PSNR_L: 15.45 dB; PSNR_E: 28.04 dB; SSIM_L: 0.18; SSIM_E: 0.82
22-07-24 13:32:48.892 : 0030.png: PSNR_L: 15.11 dB; PSNR_E: 28.71 dB; SSIM_L: 0.18; SSIM_E: 0.89
22-07-24 13:32:49.738 : 0063.png: PSNR_L: 15.93 dB; PSNR_E: 33.24 dB; SSIM_L: 0.17; SSIM_E: 0.93
22-07-24 13:32:50.574 : 0012.png: PSNR_L: 15.25 dB; PSNR_E: 26.75 dB; SSIM_L: 0.22; SSIM_E: 0.79
22-07-24 13:32:51.413 : 0024.png: PSNR_L: 15.02 dB; PSNR_E: 27.57 dB; SSIM_L: 0.20; SSIM_E: 0.79
22-07-24 13:32:52.252 : 0017.png: PSNR_L: 14.60 dB; PSNR_E: 28.82 dB; SSIM_L: 0.13; SSIM_E: 0.79
22-07-24 13:32:53.090 : 0043.png: PSNR_L: 15.33 dB; PSNR_E: 27.23 dB; SSIM_L: 0.22; SSIM_E: 0.79
22-07-24 13:32:53.925 : 0037.png: PSNR_L: 14.74 dB; PSNR_E: 27.15 dB; SSIM_L: 0.23; SSIM_E: 0.88
22-07-24 13:32:54.763 : 0002.png: PSNR_L: 15.31 dB; PSNR_E: 32.33 dB; SSIM_L: 0.08; SSIM_E: 0.85
22-07-24 13:32:55.598 : 0018.png: PSNR_L: 15.24 dB; PSNR_E: 28.28 dB; SSIM_L: 0.29; SSIM_E: 0.86
22-07-24 13:32:56.445 : 0047.png: PSNR_L: 14.44 dB; PSNR_E: 33.01 dB; SSIM_L: 0.07; SSIM_E: 0.86
22-07-24 13:32:57.295 : 0009.png: PSNR_L: 15.29 dB; PSNR_E: 29.37 dB; SSIM_L: 0.16; SSIM_E: 0.86
22-07-24 13:32:58.142 : 0048.png: PSNR_L: 14.91 dB; PSNR_E: 25.67 dB; SSIM_L: 0.31; SSIM_E: 0.75
22-07-24 13:32:58.985 : 0015.png: PSNR_L: 15.22 dB; PSNR_E: 25.40 dB; SSIM_L: 0.27; SSIM_E: 0.72
22-07-24 13:32:59.823 : 0060.png: PSNR_L: 14.74 dB; PSNR_E: 29.78 dB; SSIM_L: 0.11; SSIM_E: 0.76
22-07-24 13:33:00.677 : 0066.png: PSNR_L: 15.47 dB; PSNR_E: 27.91 dB; SSIM_L: 0.18; SSIM_E: 0.79
22-07-24 13:33:01.524 : 0023.png: PSNR_L: 14.86 dB; PSNR_E: 32.34 dB; SSIM_L: 0.09; SSIM_E: 0.89
22-07-24 13:33:02.387 : 0056.png: PSNR_L: 15.03 dB; PSNR_E: 26.76 dB; SSIM_L: 0.25; SSIM_E: 0.76
22-07-24 13:33:03.226 : 0031.png: PSNR_L: 14.99 dB; PSNR_E: 29.18 dB; SSIM_L: 0.14; SSIM_E: 0.80
22-07-24 13:33:04.084 : 0007.png: PSNR_L: 14.91 dB; PSNR_E: 23.98 dB; SSIM_L: 0.45; SSIM_E: 0.82
22-07-24 13:33:04.943 : 0026.png: PSNR_L: 15.38 dB; PSNR_E: 25.38 dB; SSIM_L: 0.37; SSIM_E: 0.84
22-07-24 13:33:05.788 : 0053.png: PSNR_L: 15.29 dB; PSNR_E: 31.52 dB; SSIM_L: 0.10; SSIM_E: 0.81
22-07-24 13:33:06.626 : 0046.png: PSNR_L: 14.93 dB; PSNR_E: 26.99 dB; SSIM_L: 0.24; SSIM_E: 0.83
22-07-24 13:33:07.467 : 0013.png: PSNR_L: 15.22 dB; PSNR_E: 32.37 dB; SSIM_L: 0.10; SSIM_E: 0.89
22-07-24 13:33:08.317 : 0036.png: PSNR_L: 14.61 dB; PSNR_E: 25.74 dB; SSIM_L: 0.28; SSIM_E: 0.77
22-07-24 13:33:09.184 : 0042.png: PSNR_L: 14.73 dB; PSNR_E: 31.88 dB; SSIM_L: 0.14; SSIM_E: 0.91
22-07-24 13:33:10.042 : 0033.png: PSNR_L: 15.08 dB; PSNR_E: 23.63 dB; SSIM_L: 0.41; SSIM_E: 0.81
22-07-24 13:33:10.884 : 0058.png: PSNR_L: 14.98 dB; PSNR_E: 27.55 dB; SSIM_L: 0.17; SSIM_E: 0.79
22-07-24 13:33:11.730 : 0034.png: PSNR_L: 14.63 dB; PSNR_E: 29.06 dB; SSIM_L: 0.13; SSIM_E: 0.78
22-07-24 13:33:12.603 : 0010.png: PSNR_L: 15.00 dB; PSNR_E: 29.25 dB; SSIM_L: 0.17; SSIM_E: 0.85
22-07-24 13:33:13.451 : 0040.png: PSNR_L: 15.00 dB; PSNR_E: 27.92 dB; SSIM_L: 0.16; SSIM_E: 0.75
22-07-24 13:33:14.293 : 0054.png: PSNR_L: 14.62 dB; PSNR_E: 30.74 dB; SSIM_L: 0.08; SSIM_E: 0.76
22-07-24 13:33:15.126 : 0001.png: PSNR_L: 14.76 dB; PSNR_E: 27.02 dB; SSIM_L: 0.21; SSIM_E: 0.75
22-07-24 13:33:15.963 : 0049.png: PSNR_L: 14.56 dB; PSNR_E: 25.78 dB; SSIM_L: 0.25; SSIM_E: 0.75
22-07-24 13:33:16.798 : 0067.png: PSNR_L: 15.68 dB; PSNR_E: 25.27 dB; SSIM_L: 0.30; SSIM_E: 0.83
22-07-24 13:33:17.651 : 0011.png: PSNR_L: 14.73 dB; PSNR_E: 29.81 dB; SSIM_L: 0.13; SSIM_E: 0.83
22-07-24 13:33:18.499 : 0020.png: PSNR_L: 14.81 dB; PSNR_E: 30.06 dB; SSIM_L: 0.13; SSIM_E: 0.84
22-07-24 13:33:19.348 : 0005.png: PSNR_L: 14.69 dB; PSNR_E: 28.70 dB; SSIM_L: 0.19; SSIM_E: 0.77
22-07-24 13:33:20.196 : 0052.png: PSNR_L: 14.67 dB; PSNR_E: 27.75 dB; SSIM_L: 0.25; SSIM_E: 0.79
22-07-24 13:33:21.037 : 0044.png: PSNR_L: 14.76 dB; PSNR_E: 28.96 dB; SSIM_L: 0.16; SSIM_E: 0.80
22-07-24 13:33:21.891 : 0065.png: PSNR_L: 14.77 dB; PSNR_E: 26.13 dB; SSIM_L: 0.23; SSIM_E: 0.69
22-07-24 13:33:22.738 : 0062.png: PSNR_L: 14.90 dB; PSNR_E: 29.57 dB; SSIM_L: 0.13; SSIM_E: 0.79
22-07-24 13:33:23.584 : 0059.png: PSNR_L: 14.44 dB; PSNR_E: 30.38 dB; SSIM_L: 0.08; SSIM_E: 0.77
22-07-24 13:33:24.438 : 0006.png: PSNR_L: 15.30 dB; PSNR_E: 28.59 dB; SSIM_L: 0.27; SSIM_E: 0.90
22-07-24 13:33:25.277 : 0039.png: PSNR_L: 14.31 dB; PSNR_E: 27.31 dB; SSIM_L: 0.13; SSIM_E: 0.53
22-07-24 13:33:26.126 : 0022.png: PSNR_L: 14.91 dB; PSNR_E: 27.26 dB; SSIM_L: 0.32; SSIM_E: 0.83
22-07-24 13:33:26.979 : 0050.png: PSNR_L: 15.25 dB; PSNR_E: 30.99 dB; SSIM_L: 0.10; SSIM_E: 0.80
22-07-24 13:33:27.831 : 0035.png: PSNR_L: 14.79 dB; PSNR_E: 23.71 dB; SSIM_L: 0.40; SSIM_E: 0.77
22-07-24 13:33:28.679 : 0057.png: PSNR_L: 14.79 dB; PSNR_E: 23.10 dB; SSIM_L: 0.39; SSIM_E: 0.73
22-07-24 13:33:29.535 : 0016.png: PSNR_L: 15.44 dB; PSNR_E: 28.36 dB; SSIM_L: 0.19; SSIM_E: 0.82
22-07-24 13:33:30.378 : 0021.png: PSNR_L: 15.10 dB; PSNR_E: 26.57 dB; SSIM_L: 0.23; SSIM_E: 0.76
